"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_url","Answer.audio-naturalness.label","Approve","Reject"
"307FVKVSYTX8UXP7I1G8Y5F2DI2474","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:30 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:30 PDT 2020","","","3DZQRBDBSOXCIJNPWSE27BEFD263SB","A273DS7TQWR9M1","Submitted","Sun Apr 26 13:52:02 PDT 2020","Sun Apr 26 13:54:32 PDT 2020","Wed Apr 29 13:54:32 PDT 2020","","","","150","100% (80/80)","100% (58/58)","0% (0/0)","https://xilaili.github.io/wavs/0000/062.wav","Good - Mostly natural speech"
"307FVKVSYTX8UXP7I1G8Y5F2DI2474","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:30 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:30 PDT 2020","","","3GDTJDAPVXTVLLGQOCDCMJNK1ZH8MX","A1UTBDKOQ2MKUD","Submitted","Sun Apr 26 13:44:47 PDT 2020","Sun Apr 26 13:45:01 PDT 2020","Wed Apr 29 13:45:01 PDT 2020","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","https://xilaili.github.io/wavs/0000/062.wav","Excellent - Completely natural speech"
"307FVKVSYTX8UXP7I1G8Y5F2DI2474","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:30 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:30 PDT 2020","","","3JRJSWSMQK3B80I7VXUXIUA0CBY3EB","A299J4PKHAEU9H","Submitted","Sun Apr 26 13:44:29 PDT 2020","Sun Apr 26 13:47:22 PDT 2020","Wed Apr 29 13:47:22 PDT 2020","","","","173","82% (291/353)","100% (40/40)","0% (0/0)","https://xilaili.github.io/wavs/0000/062.wav","Good - Mostly natural speech"
"307FVKVSYTX8UXP7I1G8Y5F2DI2747","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:33 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:33 PDT 2020","","","38YMOXR4MXH4MJRGZZM1B3TKT656W0","A273DS7TQWR9M1","Submitted","Sun Apr 26 13:45:20 PDT 2020","Sun Apr 26 13:48:11 PDT 2020","Wed Apr 29 13:48:11 PDT 2020","","","","171","100% (80/80)","100% (58/58)","0% (0/0)","https://xilaili.github.io/wavs/0000/132.wav","Excellent - Completely natural speech"
"307FVKVSYTX8UXP7I1G8Y5F2DI2747","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:33 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:33 PDT 2020","","","392CY0QWG498613XRUP7DE0YI40I4J","A347XXV5JH19PB","Submitted","Sun Apr 26 13:42:44 PDT 2020","Sun Apr 26 13:42:51 PDT 2020","Wed Apr 29 13:42:51 PDT 2020","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","https://xilaili.github.io/wavs/0000/132.wav","Fair - Equally natural and unnatural speech"
"307FVKVSYTX8UXP7I1G8Y5F2DI2747","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:33 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:33 PDT 2020","","","3ZSANO2JCIP7YV3IGNF48K3CGSBSF9","A1Z6F6EIUJFC6T","Submitted","Sun Apr 26 13:43:44 PDT 2020","Sun Apr 26 13:43:58 PDT 2020","Wed Apr 29 13:43:58 PDT 2020","","","","14","86% (442/511)","100% (120/120)","0% (0/0)","https://xilaili.github.io/wavs/0000/132.wav","Excellent - Completely natural speech"
"30EV7DWJTXD5O4PMOYZN8GJDD8H6YS","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:30 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:30 PDT 2020","","","34Q075JO10VG77PY0MHZ9CTZKQA10V","A299J4PKHAEU9H","Submitted","Sun Apr 26 13:44:55 PDT 2020","Sun Apr 26 13:49:36 PDT 2020","Wed Apr 29 13:49:36 PDT 2020","","","","281","82% (291/353)","100% (40/40)","0% (0/0)","https://xilaili.github.io/wavs/0000/074.wav","Good - Mostly natural speech"
"30EV7DWJTXD5O4PMOYZN8GJDD8H6YS","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:30 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:30 PDT 2020","","","34T446B1C3W0UAZWGJ6JQ8CQON1C0W","A18I566TMVVSFQ","Submitted","Sun Apr 26 13:46:53 PDT 2020","Sun Apr 26 13:51:06 PDT 2020","Wed Apr 29 13:51:06 PDT 2020","","","","253","0% (0/0)","0% (0/0)","0% (0/0)","https://xilaili.github.io/wavs/0000/074.wav","Good - Mostly natural speech"
"30EV7DWJTXD5O4PMOYZN8GJDD8H6YS","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:30 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:30 PDT 2020","","","3SUWZRL0M1VA5J5PEZSVPXMKM20E6S","A3QC57KUVJP5EW","Submitted","Sun Apr 26 13:46:07 PDT 2020","Sun Apr 26 13:49:32 PDT 2020","Wed Apr 29 13:49:32 PDT 2020","","","","205","100% (2/2)","0% (0/0)","0% (0/0)","https://xilaili.github.io/wavs/0000/074.wav","Good - Mostly natural speech"
"30F94FBDNT2FDU7NAJTWBFDQC7ABTT","309SUPN8PINFAZOFLOODGJ0P3APH2J","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.10","Sun Apr 26 13:41:31 PDT 2020","3","BatchId:4010516;OriginalHitTemplateId:928390811;","600","259200","Wed Apr 29 13:41:31 PDT 2020","","","30BUDKLTXGDEMF5B9GIQXR8KQ7OE5B","A2TBXASXZIRNNW","Submitted","Sun Apr 26 13:42:10 PDT 2020","Sun Apr 26 13:44:38 PDT 2020","Wed Apr 29 13:44:38 PDT 2020","","","","148","100% (936/936)","100% (174/174)","100% (9/9)","https://xilaili.github.io/wavs/0000/083.wav","Good - Mostly natural speech"
